"","dte","reb_percentage","mov_prom"
"1","2015-01",0.146280760402754,25.538676347389
"2","2015-02",0.122214982919983,14.3929723915382
"3","2015-03",0.125835434670845,17.9031696273076
"4","2015-04",0.127651506757572,18.3518584070796
"5","2015-05",0.123950279333285,17.1397634212921
"6","2015-06",0.126706762128918,18.1477815096341
"7","2015-07",0.114779696893462,16.3605370075958
"8","2015-08",0.125262870408303,17.9351226448631
"9","2015-09",0.148248339334694,20.306801994302
"10","2015-10",0.153892543670718,24.1345703476851
"11","2015-11",0.162969731553241,23.7474358974359
"12","2015-12",0.172747119448044,21.1524108627379
"13","2016-01",0.177787885746586,22.4492565055762
"14","2016-02",0.162023548334756,21.4966304754773
"15","2016-03",0.180895328344032,23.97808727948
"16","2016-04",0.169094708934535,26.1191915375897
"17","2016-05",0.174966653465731,27.4234577303884
"18","2016-06",0.178087919467339,27.0975515712358
"19","2016-07",0.192729446149022,26.7773239984442
"20","2016-08",0.186086827374642,28.3262521925551
"21","2016-09",0.176369880834678,23.330235759766
"22","2016-10",0.17347632363042,25.6476592749032
"23","2016-11",0.186487110757777,26.5776076555024
"24","2016-12",0.191922829507287,24.6768110530246
"25","2017-01",0.186074712629499,29.4545987111892
"26","2017-02",0.172700095036095,26.7600936220012
"27","2017-03",0.181109524817899,32.0400805639476
"28","2017-04",0.174839033435116,25.9928345626976
"29","2017-05",0.163405922526186,27.4038831218762
"30","2017-06",0.165372225150823,24.723292469352
"31","2017-07",0.180331175665855,24.3134588563459
"32","2017-08",0.17724017502451,23.2048735061307
